Column1 Column2 Column3 Column4 Column5 Column6 Column7 Column8 Column9 Column10 Column11 Column12
6.882624e10 9.44784e10 3.9673152e11 1.4008032e11 2.2362048e11 9.071136e10 6.20352e10 5.150736e10 7.6123584e10 1.0207296e11 1.6769376e11 1.4405472e11
1.4747616e11 4.84272e10 2.5269408e11 5.819904e10 2.1771936e11 1.959984e11 5.406048e10 4.6812384e10 2.0695392e10 5.8347648e10 4.048704e10 3.405024e10
1.2782016e11 7.951392e10 1.3202784e11 1.9688832e11 2.348784e11 1.2068352e11 9.651744e10 4.809888e10 3.37176e10 1.4107392e10 6.0656256e10 4.841856e10
4.564512e10 9.10656e10 2.7359424e11 2.6182656e11 1.9006272e11 7.170336e10 4.904064e10 3.1719168e10 1.3365216e10 1.742688e10 6.6941856e10 1.0181376e11
2.4447744e11 1.4768352e11 1.0980576e11 1.441584e11 9.327744e10 3.2331744e10 2.8289952e10 1.6837632e10 1.9423584e10 2.2201344e10 3.0297024e10 9.078912e10
1.6694208e11 1.3431744e11 2.032992e11 2.3463648e11 1.1848032e11 9.099648e10 3.72816e10 3.500496e10 5.263488e10 5.7468096e10 1.8607104e11 2.4052032e11
1.903392e11 2.1238848e11 2.0402496e11 2.294784e11 6.958656e10 7.427808e10 4.94208e10 2.3031648e10 1.53576e10 1.316736e10 5.7271104e10 1.0776672e11
2.452032e11 1.3783392e11 2.441664e11 2.3778144e11 1.8547488e11 5.548608e10 3.5348832e10 2.4446016e10 3.33504e10 1.3447296e10 6.9183936e10 1.413072e11
1.6720992e11 1.1794464e11 2.002752e11 1.6734816e11 1.8302112e11 1.1228544e11 2.3654592e10 1.6210368e10 1.2064896e10 9.84528e9 2.0624544e10 6.809184e10
3.7811232e10 1.062288e11 1.8067968e11 1.417392e11 1.6149888e11 6.1297344e10 1.8143136e10 1.2806208e10 1.4578272e10 3.0233088e10 5.1838272e10 9.759744e10
1.1346912e11 7.747488e10 2.8099872e11 1.1148192e11 5.6299104e10 3.8933568e10 1.4773536e10 6.0555168e10 2.2513248e10 1.54078848e11 1.3967424e11 5.33088e10
3.938112e10 1.1989728e11 2.6748576e11 2.6310528e11 1.4495328e11 6.372e10 7.069248e10 5.91408e10 4.438368e10 4.5762624e10 9.415872e10 1.6780608e11
1.081728e11 9.11952e10 1.509408e11 2.7312768e11 8.296128e10 3.3783264e10 2.1642336e10 1.223424e10 1.0615968e10 1.3916448e10 2.4103872e10 1.1875248e11
9.848736e10 5.626368e10 2.0905344e11 3.5736768e11 1.9787328e11 6.686496e10 5.279904e10 4.0898304e10 3.0901824e10 3.59208e10 6.191424e10 5.207328e10
1.1484288e11 1.06488e11 1.5418944e11 2.0167488e11 9.841824e10 3.2190912e10 2.0458656e10 1.4918688e10 1.7324064e10 4.9387104e10 1.1111904e11 1.9164384e11
1.3652064e11 1.251504e11 7.530624e10 3.2712768e11 2.0621088e11 1.294704e11 4.1344128e10 2.8111968e10 5.6109888e10 2.5757568e10 2.9477952e10 2.1822048e10
2.84256e10 1.4978304e11 2.6050464e11 2.8592352e11 1.4561856e11 6.597504e10 3.737664e10 3.3981984e10 2.1633696e10 1.1271744e10 2.337552e10 3.9590208e10
8.105184e10 6.35904e10 2.2643712e11 2.9101248e11 6.667488e10 2.379888e10 1.0679904e10 1.21392e10 1.049328e10 5.0455008e10 7.699968e10 5.49936e10
5.87088e10 3.8232e10 2.8108512e11 1.3567392e11 8.76528e10 4.9154688e10 1.956528e10 1.2934944e10 1.0603872e10 7.228224e9 1.7014752e10 5.047488e10
1.212624e11 7.191072e10 3.612816e11 1.8785088e11 1.2963456e11 2.79504e10 1.5969312e10 1.2076992e10 5.952096e9 7.845984e9 7.883136e9 2.2674816e10
5.082048e10 1.0825056e11 1.140912e11 1.5162336e11 7.76736e10 2.5706592e10 1.0598688e10 1.20528e10 1.1804832e10 2.7503712e10 2.8851552e10 4.251744e10
4.8168e10 1.3493952e11 2.1088512e11 9.125568e10 1.5510528e11 4.2850944e10 1.2438144e10 9.713952e9 1.2970368e10 1.5749856e10 2.9684448e10 8.257248e10
5.4762912e10 7.351776e10 2.2438944e11 1.6755552e11 1.8022176e11 4.867776e10 4.040064e10 5.5279584e10 2.7597024e10 7.3605024e10 1.1592288e11 1.2984192e11
4.904064e10 1.0123488e11 1.5433632e11 9.039168e10 1.3287456e11 1.4101344e11 4.9186656e10 1.6291584e10 3.564e10 1.8712512e10 1.14905952e11 9.366624e10
6.31152e10 7.05024e10 7.8184224e10 1.5836256e11 9.294048e10 5.278176e10 4.0285728e10 4.9906368e10 1.6896384e10 1.407456e10 7.0808256e10 8.775648e10
5.11488e10 1.6621632e11 1.4116032e11 3.6157536e11 1.1526624e11 5.368896e10 5.397408e10 2.874096e10 2.2685184e10 4.9052736e10 1.5709248e11 1.1533536e11
7.393248e10 1.798416e11 2.8272672e11 1.6577568e11 1.2151296e11 3.8291616e10 1.9764e10 3.5215776e10 2.739312e10 2.8181952e10 4.510944e10 1.6188768e11
1.2442464e11 7.325856e10 3.065904e11 2.4031296e11 1.9688832e11 4.9431168e11 1.646784e11 3.5716032e10 1.9727712e10 2.0126016e10 1.44895392e11 2.8612224e11
1.364256e11 1.4751072e11 1.7578944e11 2.0882016e11 1.6270848e11 9.363168e10 5.602176e10 3.8537856e10 4.1235264e10 3.6492768e10 7.00272e10 2.4387264e11
1.9571328e11 1.1511936e11 1.663632e11 2.4228288e11 1.0582272e11 4.93344e10 5.7636576e10 2.8009152e10 5.376672e10 3.037824e10 5.9159808e10 1.4148864e11
1.4396832e11 2.0112192e11 2.181168e11 1.2626496e11 1.5377472e11 1.1032416e11 4.960224e10 2.5537248e10 2.0385216e11 1.7927136e11 1.036368e11 9.669024e10
1.2870144e11 2.4014016e11 1.7273088e11 1.114128e11 9.027072e10 9.85824e10 6.517152e10 5.425056e10 3.1732128e10 2.1782304e11 9.574848e10 6.727104e10
3.130272e10 6.571584e10 3.3943968e11 2.2235904e11 7.540992e10 3.1225824e10 5.103648e10 3.4870176e10 9.0023616e10 2.02176e11 1.864512e11 2.3668416e11
2.3097312e11 8.813664e10 2.9172096e11 2.33928e11 2.1377088e11 6.625152e10 3.6090144e10 4.2678144e10 2.7597888e10 2.9362176e10 3.3478272e10 8.077536e10
2.5128576e11 1.0447488e11 3.7191744e11 1.6375392e11 1.1177568e11 6.4115712e10 3.0966624e10 3.9855456e10 7.021728e10 1.2037248e11 1.2140064e11 1.1247552e11
6.754752e10 2.8575936e10 1.83671712e11 2.6735616e11 1.198368e11 4.0671936e10 2.823552e10 2.0456064e10 1.1930976e10 1.2867552e10 2.9658528e10 4.3310592e10
1.777248e10 2.4782976e11 9.27072e10 9.369216e10 1.1973312e11 7.773408e10 4.1576544e10 2.1917952e10 2.1993984e10 5.6793312e10 8.513856e10 5.934816e10
7.092576e10 1.20312e11 2.2670496e11 1.9568736e11 6.269184e10 1.8192384e11 5.0792832e10 2.3904288e10 1.4642208e10 1.512864e10 2.6488512e10 5.685984e10
4.910112e10 1.0400832e11 1.3851648e11 3.1962816e11 2.160432e11 8.304768e10 4.51656e10 1.8332352e10 1.1950848e10 1.7445888e10 5.4729216e10 2.3253696e11
5.114016e10 2.6752032e11 1.4017536e11 3.2210784e11 1.8225216e11 1.3347936e11 9.454752e10 7.079616e10 2.3697792e10 1.7899488e10 3.5533728e10 1.4094432e11
7.602336e10 8.48016e10 1.4388192e11 1.2970368e11 6.1128e10 4.293648e10 2.5232256e10 1.914192e10 2.2612608e10 3.411936e10 1.32655104e11 1.3691808e11
7.933248e10 1.5238368e11 2.6440128e11 1.4980032e11 6.948288e10 7.86672e10 4.394304e10 4.745088e10 1.8052416e10 4.053888e10 1.3049856e11 1.6674336e11
7.596288e10 4.983552e10 1.4809824e11 2.308176e11 7.204896e10 3.671136e10 4.6273248e10 1.7018208e10 7.5877344e10 4.396032e10 6.235488e10 1.0712736e11
5.458752e10 1.267488e11 1.2538368e11 8.906976e10 1.6141248e11 3.7715328e10 2.0700576e10 1.9132416e10 3.0833568e10 1.905984e10 6.9158016e10 4.0385952e10
5.673888e10 5.969376e10 1.0621152e11 1.593216e11 2.7692928e11 1.74744e11 1.1254464e11 3.3379776e10 2.2331808e10 6.5133504e10 8.129376e10 3.6665568e10
1.0157184e11 2.0659104e11 9.896256e10 1.352592e11 1.4790816e11 7.413984e10 7.052832e10 5.247072e10 4.097088e10 1.9218816e11 1.248912e11 2.05848e11
1.7400096e11 1.2194496e11 1.9135872e11 1.3385952e11 7.915968e10 2.0716992e10 1.4047776e10 1.4686272e10 1.1461824e10 1.7475264e10 2.82312e10 6.61392e10
6.791904e10 5.0089536e10 1.6585344e11 1.7060544e11 8.733312e10 6.335712e10 5.554224e10 5.818176e10 5.078592e10 5.311872e10 1.3178592e11 1.1882592e11
1.6879968e11 4.010688e10 2.0589984e11 6.094656e11 1.1677824e11 3.513024e10 1.9404576e10 1.7060544e10 2.0504448e10 3.1714848e10 1.1161152e11 1.767312e11
4.552416e10 1.2915072e11 3.8215584e11 3.8181024e11 9.95328e10 6.505056e10 6.214752e10 1.26370368e11 4.923936e10 3.889296e10 6.4008576e10 1.4795136e11
1.6622496e11 5.610816e10 1.2458016e11 8.73504e10 5.885568e10 5.066496e10 3.878496e10 1.448496e10 9.157536e9 6.37632e10 1.102896e11 8.067168e10
3.1297536e11 1.5666912e11 1.98936e11 1.9351008e11 2.219184e11 7.193664e10 6.914592e10 4.0330656e10 1.05350112e11 1.4047776e11 1.8246816e11 3.0603744e11
8.708256e10 1.1663136e11 1.9977408e11 1.0701504e11 8.20368e10 6.264864e10 2.2414752e10 1.9734624e10 1.9605888e10 1.8259776e10 1.01685024e11 8.240832e10
2.4284448e11 1.8671904e11 2.6682912e11 2.2767264e11 2.0104416e11 6.827328e10 5.9476032e10 1.8500832e10 1.2915936e10 1.9532448e10 1.4041728e10 1.6648416e10
1.26059328e11 1.038096e11 1.5201216e11 1.5454368e11 5.514912e10 1.8077472e10 1.4223168e10 1.3928544e10 4.8917952e10 5.3256096e10 3.8460096e10 9.085824e10
6.7176e10 8.938944e10 2.2739616e11 2.3601024e11 1.44072e11 1.1009952e11 4.156704e10 3.7902816e10 2.5151904e10 3.1990464e10 2.8567296e10 8.246016e10
3.738528e10 8.2512e10 1.3769568e11 2.2765536e11 5.021568e10 5.946912e10 2.98728e10 1.4851296e10 2.1904128e10 2.1968064e10 1.8471456e10 6.664032e10
